01/04/2020 12:15:56 a.m.: [Método: Void ThrowForNonSuccess(System.Threading.Tasks.Task), Línea: 0] - Error al enviar la solicitud.
01/04/2020 12:15:56 a.m.: [Método: Void HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task), Línea: 0] - Error al enviar la solicitud.
01/04/2020 12:15:56 a.m.: [Método: TResult GetResult(), Línea: 0] - Error al enviar la solicitud.
01/04/2020 12:15:56 a.m.: [Método: Void MoveNext(), Línea: 108] - Error al enviar la solicitud.
1/04/2020 10:13:13: [Método: Void HandleErrorHelper(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, Oracle.DataAccess.Client.OpoSqlValCtx*, System.Object, System.String, Boolean, Int32, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: Void HandleError(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, System.Object, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: Void Open(Oracle.DataAccess.Client.OracleConnection), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: Void Open(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: Boolean MoveNext(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: Void .ctor(System.Collections.Generic.IEnumerable`1[T]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: System.Collections.Generic.List`1[TSource] ToList[TSource](System.Collections.Generic.IEnumerable`1[TSource]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: System.Collections.Generic.IEnumerable`1[T] Query[T](System.Data.IDbConnection, System.String, System.Object, System.Data.IDbTransaction, Boolean, System.Nullable`1[System.Int32], System.Nullable`1[System.Data.CommandType]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:13: [Método: System.Collections.Generic.List`1[entidad.minem.gob.pe.MedidaMitigacionBE] ListarMedidaMitigacion(entidad.minem.gob.pe.MedidaMitigacionBE), Línea: 30] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Void HandleErrorHelper(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, Oracle.DataAccess.Client.OpoSqlValCtx*, System.Object, System.String, Boolean, Int32, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Void HandleError(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, System.Object, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Void Open(Oracle.DataAccess.Client.OracleConnection), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Void Open(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Boolean MoveNext(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: Void .ctor(System.Collections.Generic.IEnumerable`1[T]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: System.Collections.Generic.List`1[TSource] ToList[TSource](System.Collections.Generic.IEnumerable`1[TSource]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: System.Collections.Generic.IEnumerable`1[T] Query[T](System.Data.IDbConnection, System.String, System.Object, System.Data.IDbTransaction, Boolean, System.Nullable`1[System.Int32], System.Nullable`1[System.Data.CommandType]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:16: [Método: System.Collections.Generic.List`1[entidad.minem.gob.pe.IniciativaBE] MostrarGeiporAnio(entidad.minem.gob.pe.IniciativaBE), Línea: 1455] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Void HandleErrorHelper(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, Oracle.DataAccess.Client.OpoSqlValCtx*, System.Object, System.String, Boolean, Int32, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Void HandleError(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, System.Object, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Void Open(Oracle.DataAccess.Client.OracleConnection), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Void Open(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Boolean MoveNext(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: Void .ctor(System.Collections.Generic.IEnumerable`1[T]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: System.Collections.Generic.List`1[TSource] ToList[TSource](System.Collections.Generic.IEnumerable`1[TSource]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: System.Collections.Generic.IEnumerable`1[T] Query[T](System.Data.IDbConnection, System.String, System.Object, System.Data.IDbTransaction, Boolean, System.Nullable`1[System.Int32], System.Nullable`1[System.Data.CommandType]), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:42: [Método: entidad.minem.gob.pe.UsuarioBE ObtenerPassword(entidad.minem.gob.pe.UsuarioBE), Línea: 230] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:45: [Método: Void HandleErrorHelper(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, Oracle.DataAccess.Client.OpoSqlValCtx*, System.Object, System.String, Boolean, Int32, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:45: [Método: Void HandleError(Int32, Oracle.DataAccess.Client.OracleConnection, IntPtr, System.Object, Oracle.DataAccess.Client.OracleLogicalTransaction), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:45: [Método: Void Open(Oracle.DataAccess.Client.OracleConnection), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:45: [Método: Void Open(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
1/04/2020 10:13:45: [Método: Boolean MoveNext(), Línea: 0] - ORA-01045: user %s lacks CREATE SESSION privilege; logon denied
